"Signature","Genes","Threshold","Survival","ZScore_N","ZScore_P","ssGSEA_N","ssGSEA_P","Correlation","Method_Diff","Better_Method","Both_Sig","Either_Sig"
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p_75p","OS",122,0.425831,122,0.06204,0.9439,0.363791,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p_75p","DSS",118,0.201782,118,0.051898,0.9439,0.149884,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p_75p","PFI",122,0.768683,122,0.137196,0.9439,0.631486,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","33p_66p","OS",164,0.94299,164,0.2613,0.9439,0.68169,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","33p_66p","DSS",158,0.607226,158,0.062508,0.9439,0.544718,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","33p_66p","PFI",164,0.968108,164,0.25935,0.9439,0.708758,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p","OS",245,0.820619,245,0.838238,0.8301,-0.017619,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p","DSS",235,0.126682,235,0.085261,0.8301,0.041421,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","25p","PFI",245,0.253468,245,0.338735,0.8301,-0.085267,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","50p","OS",245,0.758241,245,0.761307,0.8301,-0.003066,"Z-score",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","50p","DSS",235,0.543212,235,0.365528,0.8301,0.177684,"ssGSEA",FALSE,FALSE
"CES1_MGLL_CPT1A","CES1, MGLL, CPT1A","50p","PFI",245,0.45336,245,0.959445,0.8301,-0.506084,"Z-score",FALSE,FALSE
