"sampleID","ssgsea_CES1_signature","ssgsea_group_3levels","ssgsea_group_binary","quantile_25th","quantile_50th","quantile_75th"
"TCGA-3L-AA1B-01",1.07756969831937,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-4N-A93T-01",-0.345694575833443,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-5M-AAT4-01",-0.639356497498042,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-5M-AAT6-01",1.01154836983969,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-5M-AATE-01",0.94674586341454,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2672-01",-0.868632129072714,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2675-01",1.43632407777276,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2677-01",-1.002933310107,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2682-01",0.0745556297167807,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2684-01",-0.143408800540409,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2685-01",0.930743713403459,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-2686-01",-0.942006019199684,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-3810-01",-1.46200675620282,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-4105-01",-0.147447115095641,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5656-01",-1.31145037866043,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5657-01",0.790432831479642,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5659-01",-1.36185557652588,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5660-01",0.633099987854415,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5661-01",-0.782495823124936,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5662-01",0.0301687119953867,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5664-01",0.740863671683676,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5665-01",-0.671202835213582,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5666-01",0.121591174082722,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-5667-01",1.69764150799784,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6137-01",0.550943726247859,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6138-01",-0.634229963514699,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6140-01",1.28637011219357,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6141-01",-0.0149200824014708,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6142-01",1.30717680295082,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6648-01",0.948045101924434,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6649-01",1.29981687035556,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6650-01",-1.66096542340215,"Low","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6651-01",2.05763884039224,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6652-01",0.467656314444663,"Medium","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6653-01",-0.375072988266608,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6654-01",1.12828178810071,"High","High",-0.694213870842249,0.043014869578352,0.696586982732426
"TCGA-A6-6782-01",0.017206056833549,"Medium","Low",-0.694213870842249,0.043014869578352,0.696586982732426
